Standard,Mesh,inches,mm,Microns,Display,Display x,Display Sieve Number
25.4 mm,1 in.,1,25.4,25400,FALSE,#N/A,1 in.
22.6 mm,7/8 in.,0.875,22.6,22600,FALSE,#N/A,
19.0 mm,3/4 in.,0.75,19,19000,FALSE,#N/A,
16.0 mm,5/8 in.,0.625,16,16000,FALSE,#N/A,
13.5 mm,0.530 in.,0.53,13.5,13500,FALSE,#N/A,
12.7 mm,1/2 in.,0.5,12.7,12700,FALSE,#N/A,1/2 in.
11.2 mm,7/16 in.,0.438,11.2,11200,FALSE,#N/A,
9.51 mm,3/8 in.,0.375,9.51,9510,FALSE,#N/A,
8.00 mm,5/16 in.,0.312,8,8000,FALSE,#N/A,
6.73 mm,0.265 in.,0.265,6.73,6730,FALSE,#N/A,
6.35 mm,1/4 in.,0.25,6.35,6350,FALSE,#N/A,1/4 in.
5.66 mm,3 1/2,0.223,5.66,5660,FALSE,#N/A,
4.76 mm,4,0.187,4.76,4760,FALSE,#N/A,
4.00 mm,5,0.157,4,4000,FALSE,#N/A,5
3.36 mm,6,0.132,3.36,3360,FALSE,#N/A,
2.83 mm,7,0.111,2.83,2830,FALSE,#N/A,
2.38 mm,8,0.0937,2.38,2380,FALSE,#N/A,
2.00 mm,10,0.0787,2,2000,FALSE,#N/A,10
1.68 mm,12,0.0661,1.68,1680,FALSE,#N/A,
1.41 mm,14,0.0555,1.41,1410,FALSE,#N/A,
1.19 mm,16,0.0469,1.19,1190,FALSE,#N/A,
1.00 mm,18,0.0394,1,1000,FALSE,#N/A,
0.841 mm,20,0.0331,0.841,841,FALSE,#N/A,
0.707 mm,25,0.0278,0.707,707,FALSE,#N/A,
0.595 mm,30,0.0234,0.595,595,FALSE,#N/A,
0.500 mm,35,0.0197,0.5,500,TRUE,500,
0.420 mm,40,0.0165,0.42,420,TRUE,420,
0.354 mm,45,0.0139,0.354,354,TRUE,354,
0.297 mm,50,0.0117,0.297,297,TRUE,297,50
0.250 mm,60,0.0098,0.25,250,TRUE,250,
0.210 mm,70,0.0083,0.21,210,TRUE,210,
0.177 mm,80,0.007,0.177,177,TRUE,177,
0.149 mm,100,0.0059,0.149,149,TRUE,149,100
0.125 mm,120,0.0049,0.125,125,TRUE,125,
0.105 mm,140,0.0041,0.105,105,TRUE,105,
0.088 mm,170,0.0035,0.088,88,TRUE,88,
0.074 mm,200,0.0029,0.074,74,TRUE,74,
0.063 mm,230,0.0025,0.063,63,TRUE,63,
0.053 mm,270,0.0021,0.053,53,TRUE,53,
0.044 mm,325,0.0017,0.044,44,TRUE,44,
0.037 mm,400,0.0015,0.037,37,TRUE,37,400
,,,0.002,2,TRUE,2,
